"","geo_merge","cases_final","case_rate_final","adj_case_rate_final","deaths_final","death_rate_final","adj_death_rate_final","persons_tested_final","testing_rate_final","adj_testing_rate_final","population"
"168","Los Angeles - Pico-Union",531,531,1347,56,134,160,2034,4861,4842,41842
"169","Los Angeles - Playa Del Rey",3,3,77,0,0,0,151,4725,4528,3196
"170","Los Angeles - Playa Vista",23,23,208,0,0,0,741,6769,6731,10947
"171","Los Angeles - Porter Ranch",89,89,260,6,17,10,1839,5167,4769,35588
"172","Los Angeles - Rancho Park",18,18,302,0,0,0,473,7210,7500,6560
"173","Los Angeles - Regent Square",4,4,134,0,0,0,122,4388,3987,2780
"174","Los Angeles - Reseda",544,544,673,24,31,28,5558,7254,6804,76617
"175","Los Angeles - Reseda Ranch",31,31,597,0,0,0,268,5781,5537,4636
"176","Los Angeles - Reynier Village",10,10,240,0,0,0,210,4967,5056,4228
"177","Los Angeles - San Pedro",893,893,1136,15,19,17,3438,4406,4265,78038
"178","Los Angeles - Shadow Hills",11,11,296,0,0,0,205,4615,4147,4442
"179","Los Angeles - Sherman Oaks",224,224,256,10,11,9,5635,6458,6212,87254
"180","Los Angeles - Silverlake",176,176,376,10,23,20,3176,7205,6839,44083
"181","Los Angeles - South Carthay",35,35,372,0,0,0,670,6324,6565,10595
"182","Los Angeles - South Park",369,369,1000,7,18,27,1611,4244,4515,37961
"183","Los Angeles - St Elmo Village",44,44,1146,5,109,178,409,8922,9537,4584
"184","Los Angeles - Studio City",77,77,336,5,22,20,1626,7246,6779,22440
"185","Los Angeles - Sun Valley",293,293,533,7,13,14,2374,4523,4401,52483
"186","Los Angeles - Sunland",146,146,592,14,69,47,1223,5993,5440,20408
"187","Los Angeles - Sycamore Square",1,1,79,0,0,0,63,9737,8788,647
"188","Los Angeles - Sylmar",772,772,952,41,50,63,5112,6204,6171,82398
"189","Los Angeles - Tarzana",160,160,470,9,29,20,2237,7245,6650,30876
"190","Los Angeles - Temple-Beaudry",312,312,752,11,28,31,2063,5225,4844,39482
"191","Los Angeles - Thai Town",30,30,244,0,0,0,481,4904,4435,9809
"192","Los Angeles - Toluca Lake",19,19,200,0,0,0,543,6239,6285,8704
"193","Los Angeles - Toluca Terrace",6,6,562,0,0,0,61,4671,4421,1306
"194","Los Angeles - Toluca Woods",3,3,108,0,0,0,117,6297,6012,1858
"195","Los Angeles - Tujunga",121,121,398,11,40,33,1407,5059,4634,27810
"196","Los Angeles - University Hills",11,11,298,1,29,19,154,4491,4540,3429
"197","Los Angeles - University Park",180,180,933,1,4,3,870,3169,3887,27456
"198","Los Angeles - Valley Glen",127,127,399,4,13,13,1342,4471,4250,30016
"199","Los Angeles - Valley Village",207,207,754,9,36,29,1740,7039,6590,24720
"200","Los Angeles - Van Nuys",674,674,734,28,30,41,4655,4995,4970,93194
"201","Los Angeles - Venice",65,65,199,2,6,6,2087,6159,6125,33885
"202","Los Angeles - Vermont Knolls",140,140,817,2,12,15,882,5128,5178,17200
"203","Los Angeles - Vermont Square",84,84,1064,2,26,24,429,5603,5489,7657
"204","Los Angeles - Vermont Vista",310,310,793,5,12,19,1791,4349,4618,41186
"205","Los Angeles - Vernon Central",584,584,1166,11,21,30,2342,4504,4663,51998
"206","Los Angeles - Victoria Park",57,57,658,2,24,20,421,5012,4884,8399
"207","Los Angeles - View Heights",9,9,219,2,54,42,260,7038,6435,3694
"208","Los Angeles - Watts",281,281,736,8,19,32,1674,3923,4256,42674
"209","Los Angeles - Wellington Square",21,21,393,0,0,0,278,5656,5424,4915
"210","Los Angeles - West Adams",207,207,728,16,58,63,2012,7282,7039,27630
"211","Los Angeles - West Hills",133,133,281,13,32,20,2170,5352,5055,40545
"212","Los Angeles - West Los Angeles",79,79,192,4,11,11,2564,6813,6278,37636
"213","Los Angeles - West Vernon",441,441,828,15,28,33,2927,5456,5503,53644
"214","Los Angeles - Westchester",92,92,169,8,16,13,2798,5422,5083,51603
"215","Los Angeles - Westlake",703,703,1250,72,121,141,3044,5128,5258,59355
"216","Los Angeles - Westwood",67,67,137,5,9,9,2418,4469,4916,54109
"217","Los Angeles - Wholesale District",661,661,1539,7,19,27,2904,8038,7133,36129
"218","Los Angeles - Wilmington",231,231,422,3,5,6,1746,3091,3207,56487
"219","Los Angeles - Wilshire Center",232,232,438,16,32,33,2098,4182,3922,50170
"220","Los Angeles - Winnetka",283,283,514,4,8,9,3092,5971,5705,51786
"221","Los Angeles - Woodland Hills",157,157,203,11,16,11,4287,6299,5750,68055
"222","Unincorporated - Acton",11,11,158,1,13,6,257,3224,3094,7971
"223","Unincorporated - Agua Dulce",8,8,282,0,0,0,141,3391,3851,4158
"224","Unincorporated - Altadena",144,144,327,5,11,10,1748,4007,3815,43620
"225","Unincorporated - Anaverde",1,1,119,0,0,0,38,2520,2939,1508
"226","Unincorporated - Angeles National Forest",1,1,69,0,0,0,25,2008,1903,1245
"227","Unincorporated - Arcadia",8,8,88,1,13,8,331,4147,3816,7981
"228","Unincorporated - Athens Village",26,26,615,2,41,38,297,6065,6377,4897
"229","Unincorporated - Athens-Westmont",220,220,518,7,16,19,1948,4590,4656,42442
"230","Unincorporated - Avocado Heights",24,24,350,1,15,14,153,2258,2181,6775
"231","Unincorporated - Azusa",60,60,380,1,6,10,465,2920,2870,15923
"232","Unincorporated - Bassett",82,82,550,2,14,13,467,3152,3095,14817
"233","Unincorporated - Bouquet Canyon",1,1,82,1,93,82,15,1398,1535,1073
"234","Unincorporated - Canyon Country",37,37,506,0,0,0,401,5189,5668,7728
"235","Unincorporated - Castaic",340,340,1188,1,4,5,882,3244,3290,27191
"236","Unincorporated - Covina",57,57,329,0,0,0,557,3312,3150,16819
"237","Unincorporated - Covina (Charter Oak)",42,42,323,0,0,0,407,3096,3022,13144
